Date,Close/Last
2/10/21,332.75
2/9/21,333.51
2/8/21,333.58
2/5/21,331.36
2/4/21,330.24
2/3/21,326.38
2/2/21,327.68
2/1/21,322.42
1/29/21,314.56
1/28/21,321.32
1/27/21,319.43
1/26/21,328.59
1/25/21,328.11
1/22/21,325.42
1/21/21,326.36
1/20/21,323.77
1/19/21,316.41
1/15/21,311.86
1/14/21,314.35
1/13/21,316.04
1/12/21,313.92
1/11/21,314.42
1/8/21,319.03
1/7/21,314.98
1/6/21,307.54
1/5/21,311.86
1/4/21,309.31
12/31/20,313.74
12/30/20,312.97
12/29/20,312.96
12/28/20,312.68
12/24/20,309.56
12/23/20,308.2
12/22/20,309.76
12/21/20,308.92
12/18/20,310.06
12/17/20,311
12/16/20,308.98
12/15/20,307.29
12/14/20,304.04
12/11/20,301.85
12/10/20,302.52
12/9/20,301.31
12/8/20,308.29
12/7/20,307.25
12/4/20,305.52
12/3/20,304.28
12/2/20,303.85
12/1/20,303.46
11/30/20,299.62
11/27/20,299.01
11/25/20,296.28
11/24/20,294.47
11/23/20,290.39
11/20/20,290.38
11/19/20,292.38
11/18/20,290.11
11/17/20,292.27
11/16/20,293.2
11/13/20,290.93
11/12/20,288.4
11/11/20,289.76
11/10/20,283.42
11/9/20,288.59
11/6/20,294.61
11/5/20,294.39
11/4/20,286.91
11/3/20,274.65
11/2/20,269.98
10/30/20,269.38
10/29/20,276.39
10/28/20,271.64
10/27/20,282.66
10/26/20,280.47
10/23/20,284.74
10/22/20,284.18
10/21/20,284.19
10/20/20,284.41
10/19/20,283.8
10/16/20,288.51
10/15/20,290.1
10/14/20,292.06
10/13/20,294.52
10/12/20,294.53
10/9/20,285.71
10/8/20,281.41
10/7/20,279.92
10/6/20,275.16
10/5/20,280.16
10/2/20,274.31
10/1/20,282.25
9/30/20,277.84
9/29/20,275.95
9/28/20,277.2
9/25/20,271.56
9/24/20,265.39
9/23/20,264.16
9/22/20,272.48
9/21/20,267.51
9/18/20,266.87
9/17/20,270.32
9/16/20,274.61
9/15/20,279.06
9/14/20,275.16
9/11/20,270.45
9/10/20,272.34
9/9/20,277.88
9/8/20,269.95
9/4/20,283.58
9/3/20,287.41
9/2/20,302.76
9/1/20,299.92
8/31/20,294.88
8/28/20,292.53
8/27/20,291.05
8/26/20,291.96
8/25/20,285.86
8/24/20,283.63
8/21/20,281.87
8/20/20,279.93
8/19/20,276.1
8/18/20,277.97
8/17/20,275.32
8/14/20,272.16
8/13/20,272.48
8/12/20,271.86
8/11/20,265.19
8/10/20,270.31
8/7/20,271.47
8/6/20,274.64
8/5/20,271.05
8/4/20,270.38
8/3/20,269.38
7/31/20,265.79
7/30/20,261.13
7/29/20,259.77
7/28/20,256.81
7/27/20,260.12
7/24/20,255.56
7/23/20,258.01
7/22/20,264.93
7/21/20,264
7/20/20,266.78
7/17/20,259.42
7/16/20,259.12
7/15/20,260.9
7/14/20,260.37
7/13/20,258.54
7/10/20,263.97
7/9/20,262.18
7/8/20,259.99
7/7/20,256.61
7/6/20,258.39
7/2/20,252.19
7/1/20,250.49
6/30/20,247.6
6/29/20,242.84
6/26/20,240.22
6/25/20,246.03
6/24/20,243.71
6/23/20,248.84
6/22/20,246.74
6/19/20,244.24
6/18/20,244.28
6/17/20,243.62
6/16/20,242.85
6/15/20,238.75
6/12/20,235.88
6/11/20,234.02
6/10/20,246.22
6/9/20,243.3
6/8/20,241.55
6/5/20,239.69
6/4/20,235.03
6/3/20,236.69
6/2/20,235.63
6/1/20,234.06
5/29/20,233.36
5/28/20,229.99
5/27/20,230.29
5/26/20,229.04
5/22/20,229.66
5/21/20,228.87
5/20/20,231.39
5/19/20,226.86
5/18/20,227.43
5/15/20,223.27
5/14/20,221.83
5/13/20,219.34
5/12/20,222.12
5/11/20,226.87
5/8/20,224.86
5/7/20,221.82
5/6/20,219
5/5/20,217.66
5/4/20,215.22
5/1/20,212.74
4/30/20,218.91
4/29/20,219
4/28/20,211.5
4/27/20,215.56
4/24/20,213.84
4/23/20,210.52
4/22/20,210.97
4/21/20,204.89
4/20/20,212.74
4/17/20,215.29
4/16/20,213.25
4/15/20,209.43
4/14/20,211.86
4/13/20,203.03
4/9/20,200.86
4/8/20,200.57
4/7/20,196.4
4/6/20,196.48
4/3/20,183.37
4/2/20,186.01
4/1/20,182.31
3/31/20,190.4
3/30/20,192.04
3/27/20,185.3
3/26/20,191.9
3/25/20,182.3
3/24/20,183.66
3/23/20,170.46
3/20/20,170.7
3/19/20,177.66
3/18/20,176.6
3/17/20,182.14
3/16/20,169.3
3/13/20,192.34
3/12/20,177.32
3/11/20,195.22
3/10/20,204.11
3/9/20,193.57
3/6/20,208.02
3/5/20,211.59
3/4/20,218.22
3/3/20,209.48
3/2/20,216.42
2/28/20,205.8
2/27/20,205.64
2/26/20,216.48
2/25/20,215.37
2/24/20,221.39
2/21/20,230.27
2/20/20,234.78
2/19/20,236.98
2/18/20,234.73
2/14/20,234.64
2/13/20,233.97
2/12/20,234.27
2/11/20,232.01
2/10/20,231.97
2/7/20,229.2
2/6/20,230.19
2/5/20,228.22
2/4/20,227.47
2/3/20,222.38
1/31/20,219.07
1/30/20,222.6
1/29/20,221.81
1/28/20,221.45
1/27/20,218.1
1/24/20,222.7
1/23/20,224.59
1/22/20,223.87
1/21/20,223.28
1/17/20,223.38
1/16/20,222.28
1/15/20,220.17
1/14/20,220.08
1/13/20,220.95
1/10/20,218.43
1/9/20,218.99
