Date,Close/Last,,,,
10/28/21,$152.57 ,,,,
10/27/21,$148.85 ,,,,
10/26/21,$149.32 ,,,,
10/25/21,$148.64 ,,,,
10/22/21,$148.69 ,,,,
10/21/21,$149.48 ,,,,
10/20/21,$149.26 ,,,,
10/19/21,$148.76 ,,,,
10/18/21,$146.55 ,,,,
10/15/21,$144.84 ,,,,
10/14/21,$143.76 ,,,,
10/13/21,$140.91 ,,,,
10/12/21,$141.51 ,,,,
10/11/21,$142.81 ,,,,
10/8/21,$142.90 ,,,,
10/7/21,$143.29 ,,,,
10/6/21,$142 ,,,,
10/5/21,$141.11 ,,,,
10/4/21,$139.14 ,,,,
10/1/21,$142.65 ,,,,
9/30/21,$141.50 ,,,,
9/29/21,$142.83 ,,,,
9/28/21,$141.91 ,,,,
9/27/21,$145.37 ,,,,
9/24/21,$146.92 ,,,,
9/23/21,$146.83 ,,,,
9/22/21,$145.85 ,,,,
9/21/21,$143.43 ,,,,
9/20/21,$142.94 ,,,,
9/17/21,$146.06 ,,,,
9/16/21,$148.79 ,,,,
9/15/21,$149.03 ,,,,
9/14/21,$148.12 ,,,,
9/13/21,$149.55 ,,,,
9/10/21,$148.97 ,,,,
9/9/21,$154.07 ,,,,
9/8/21,$155.11 ,,,,
9/7/21,$156.69 ,,,,
9/3/21,$154.30 ,,,,
9/2/21,$153.65 ,,,,
9/1/21,$152.51 ,,,,
8/31/21,$151.83 ,,,,
8/30/21,$153.12 ,,,,
8/27/21,$148.60 ,,,,
8/26/21,$147.54 ,,,,
8/25/21,$148.36 ,,,,
8/24/21,$149.62 ,,,,
8/23/21,$149.71 ,,,,
8/20/21,$148.19 ,,,,
8/19/21,$146.70 ,,,,
8/18/21,$146.36 ,,,,
8/17/21,$150.19 ,,,,
8/16/21,$151.12 ,,,,
8/13/21,$149.10 ,,,,
8/12/21,$148.89 ,,,,
8/11/21,$145.86 ,,,,
8/10/21,$145.60 ,,,,
8/9/21,$146.09 ,,,,
8/6/21,$146.14 ,,,,
8/5/21,$147.06 ,,,,
8/4/21,$146.95 ,,,,
8/3/21,$147.36 ,,,,
8/2/21,$145.52 ,,,,
7/30/21,$145.86 ,,,,
7/29/21,$145.64 ,,,,
7/28/21,$144.98 ,,,,
7/27/21,$146.77 ,,,,
7/26/21,$148.99 ,,,,
7/23/21,$148.56 ,,,,
7/22/21,$146.80 ,,,,
7/21/21,$145.40 ,,,,
7/20/21,$146.15 ,,,,
7/19/21,$142.45 ,,,,
7/16/21,$146.39 ,,,,
7/15/21,$148.48 ,,,,
7/14/21,$149.15 ,,,,
7/13/21,$145.64 ,,,,
7/12/21,$144.50 ,,,,
7/9/21,$145.11 ,,,,
7/8/21,$143.24 ,,,,
7/7/21,$144.57 ,,,,
7/6/21,$142.02 ,,,,
7/2/21,$139.96 ,,,,
7/1/21,$137.27 ,,,,
6/30/21,$136.96 ,,,,
6/29/21,$136.33 ,,,,
6/28/21,$134.78 ,,,,
6/25/21,$133.11 ,,,,
6/24/21,$133.41 ,,,,
6/23/21,$133.70 ,,,,
6/22/21,$133.98 ,,,,
6/21/21,$132.30 ,,,,
6/18/21,$130.46 ,,,,
6/17/21,$131.79 ,,,,
6/16/21,$130.15 ,,,,
6/15/21,$129.64 ,,,,
6/14/21,$130.48 ,,,,
6/11/21,$127.35 ,,,,
6/10/21,$126.11 ,,,,
6/9/21,$127.13 ,,,,
6/8/21,$126.74 ,,,,
6/7/21,$125.90 ,,,,
6/4/21,$125.89 ,,,,
6/3/21,$123.54 ,,,,
6/2/21,$125.06 ,,,,
6/1/21,$124.28 ,,,,
5/28/21,$124.61 ,,,,
5/27/21,$125.28 ,,,,
5/26/21,$126.85 ,,,,
5/25/21,$126.90 ,,,,
5/24/21,$127.10 ,,,,
5/21/21,$125.43 ,,,,
5/20/21,$127.31 ,,,,
5/19/21,$124.69 ,,,,
5/18/21,$124.85 ,,,,
5/17/21,$126.27 ,,,,
5/14/21,$127.45 ,,,,
5/13/21,$124.97 ,,,,
5/12/21,$122.77 ,,,,
5/11/21,$125.91 ,,,,
5/10/21,$126.85 ,,,,
5/7/21,$130.21 ,,,,
5/6/21,$129.74 ,,,,
5/5/21,$128.10 ,,,,
5/4/21,$127.85 ,,,,
5/3/21,$132.54 ,,,,
4/30/21,$131.46 ,,,,
4/29/21,$133.48 ,,,,
4/28/21,$133.58 ,,,,
4/27/21,$134.39 ,,,,
4/26/21,$134.72 ,,,,
4/23/21,$134.32 ,,,,
4/22/21,$131.94 ,,,,
4/21/21,$133.50 ,,,,
4/20/21,$133.11 ,,,,
4/19/21,$134.84 ,,,,
4/16/21,$134.16 ,,,,
4/15/21,$134.50 ,,,,
4/14/21,$132.03 ,,,,
4/13/21,$134.43 ,,,,
4/12/21,$131.24 ,,,,
4/9/21,$133.00 ,,,,
4/8/21,$130.36 ,,,,
4/7/21,$127.90 ,,,,
4/6/21,$126.21 ,,,,
4/5/21,$125.90 ,,,,
4/1/21,$123 ,,,,
3/31/21,$122.15 ,,,,
3/30/21,$119.90 ,,,,
3/29/21,$121.39 ,,,,
3/26/21,$121.21 ,,,,
3/25/21,$120.59 ,,,,
3/24/21,$120.09 ,,,,
3/23/21,$122.54 ,,,,
3/22/21,$123.39 ,,,,
3/19/21,$119.99 ,,,,
3/18/21,$120.53 ,,,,
3/17/21,$124.76 ,,,,
3/16/21,$125.57 ,,,,
3/15/21,$123.99 ,,,,
3/12/21,$121.03 ,,,,
3/11/21,$121.96 ,,,,
3/10/21,$119.98 ,,,,
3/9/21,$121.09 ,,,,
3/8/21,$116.36 ,,,,
3/5/21,$121.42 ,,,,
3/4/21,$120.13 ,,,,
3/3/21,$122.06 ,,,,
3/2/21,$125.12 ,,,,
3/1/21,$127.79 ,,,,
2/26/21,$121.26 ,,,,
2/25/21,$120.99 ,,,,
2/24/21,$125.35 ,,,,
2/23/21,$125.86 ,,,,
2/22/21,$126 ,,,,
2/19/21,$129.87 ,,,,
2/18/21,$129.71 ,,,,
2/17/21,$130.84 ,,,,
2/16/21,$133.19 ,,,,
2/12/21,$135.37 ,,,,
2/11/21,$135.13 ,,,,
2/10/21,$135.39 ,,,,
2/9/21,$136.01 ,,,,
2/8/21,$136.91 ,,,,
2/5/21,$136.76 ,,,,
2/4/21,$137.39 ,,,,
