Date,Close/Last,Volume,Open,High,Low
03/14/2019,281.16,67354180,281.37,281.84,280.6662
03/13/2019,281.34,80111580,280.48,282.38,280.3
03/12/2019,279.49,79432230,279.06,280.07,278.85
03/11/2019,278.44,64752480,275.26,278.62,275.23
03/08/2019,274.46,85634780,272.94,274.65,272.42
03/07/2019,275.01,94692650,276.83,276.99,274.07
03/06/2019,277.33,74824560,279.15,279.16,276.97
03/05/2019,279.02,58813100,279.54,279.76,278.41
03/04/2019,279.4,106181700,281.6,281.87,276.84
03/01/2019,280.42,77586110,280.44,280.88,278.82
02/28/2019,278.68,69048080,278.96,279.45,278.32
02/27/2019,279.2,56131350,278.52,279.59,277.48
02/26/2019,279.32,56491990,279.13,280.3,278.9
02/25/2019,279.52,68642630,280.73,281.31,279.43
02/22/2019,279.14,77132070,278.11,279.36,277.4029
02/21/2019,277.42,63984460,277.7,278.1,276.345
02/20/2019,278.41,76479570,277.81,278.92,277.25
02/19/2019,277.85,58802310,276.481,278.58,276.47
02/15/2019,277.37,96744830,276.36,277.41,276.13
02/14/2019,274.38,82409970,273.78,275.64,272.87
02/13/2019,274.99,64930780,275.03,275.93,274.56
02/12/2019,274.1,71990420,272.42,274.52,272.34
02/11/2019,270.62,67807910,271.2,271.49,270.03
02/08/2019,270.47,75742440,268.75,270.58,267.83
02/07/2019,270.14,95030290,270.94,271.55,268.29
02/06/2019,272.74,58009950,272.79,273.34,271.92
02/05/2019,273.1,79447070,272.44,273.44,271.88
02/04/2019,271.96,60610790,270.11,272.03,269.36
02/01/2019,270.06,85738850,270.15,271.2,269.18
01/31/2019,269.93,103347200,267.51,270.47,267.27
01/30/2019,267.58,92069900,265.1,268.52,264.25
01/29/2019,263.41,65024130,263.92,264.55,262.48
01/28/2019,263.76,85027280,263.39,263.83,261.79
01/25/2019,265.78,96838230,265.61,266.7,263.6595
01/24/2019,263.55,58643080,263.21,264.2,262.08
01/23/2019,263.41,84305190,264.01,264.79,260.66
01/22/2019,262.86,115253300,264.82,265.06,261.06
01/18/2019,266.46,124175900,264.98,266.98,262.998
01/17/2019,262.96,94873800,260.01,263.92,259.96
01/16/2019,260.98,77489420,260.83,261.9666,260.6
01/15/2019,260.35,84892580,257.82,260.7,257.81
01/14/2019,257.4,69913980,256.86,258.3,256.41
01/11/2019,258.98,72812270,257.68,259.0098,257.03
01/10/2019,258.88,96462500,256.26,259.16,255.5
01/09/2019,257.97,94640560,257.56,258.91,256.19
01/08/2019,256.77,101804900,256.82,257.31,254
01/07/2019,254.38,102307400,252.69,255.95,251.69
